;page;depth;xmin;ymin;xmax;ymax;type;text;id
0;17;0;0;0;653.622;852.047;LTPage;"
    ";17
1;17;1;376.288;63.398;464.023;75.947;LTTextBoxHorizontal;"172531_th1_ch1_12_croquis_malacca 
96,5 x 165 mm ";17-143
2;17;1;553.447;47.52;564.567;57.52;LTTextLineHorizontal;;17-142
3;17;2;553.447;47.52;564.567;57.52;LTTextBoxHorizontal;49 ;17-142-0
4;17;1;66.948;715.996;276.453;741.996;LTTextLineHorizontal;;17-141
5;17;2;66.948;715.996;276.453;741.996;LTTextBoxHorizontal;Le détroit de Malacca ;17-141-0
6;17;1;15.0;837.047;653.622;852.047;LTFigure;"
      ";17-140
7;17;2;15.0;837.047;653.622;852.047;LTFigure;"
        ";17-140-0
8;17;3;15.0;837.047;653.622;852.047;LTFigure;;17-140-0-0
9;17;1;291.366;80.447;564.316;551.632;LTRect;"
      ";17-139
10;17;2;291.366;80.447;564.316;551.632;LTRect;"
        ";17-139-0
11;17;3;453.397;516.648;525.048;524.648;LTTextLineHorizontal;;17-139-0-15
12;17;4;453.397;516.648;525.048;524.648;LTTextBoxHorizontal;Golfe de Thaïlande ;17-139-0-15-0
13;17;3;370.063;508.9;389.288;514.98;LTTextLineHorizontal;;17-139-0-14
14;17;4;370.063;508.9;389.288;514.98;LTTextBoxHorizontal;Phuket ;17-139-0-14-0
15;17;3;314.192;533.751;340.488;541.351;LTTextLineHorizontal;;17-139-0-13
16;17;4;314.192;533.751;340.488;541.351;LTTextBoxHorizontal;Titre : ;17-139-0-13-0
17;17;3;312.301;507.048;352.691;526.048;LTTextBoxHorizontal;"Mer 
d’Andaman ";17-139-0-12
18;17;3;306.679;466.948;326.475;473.028;LTTextLineHorizontal;;17-139-0-11
19;17;4;306.679;466.948;326.475;473.028;LTTextBoxHorizontal;Sabang ;17-139-0-11-0
20;17;3;297.491;324.25;300.851;331.25;LTTextLineHorizontal;;17-139-0-10
21;17;4;297.491;324.25;300.851;331.25;LTTextBoxHorizontal;0 ;17-139-0-10-0
22;17;3;332.872;268.31;386.21;276.31;LTTextLineHorizontal;;17-139-0-9
23;17;4;332.872;268.31;386.21;276.31;LTTextBoxHorizontal;Principaux ports ;17-139-0-9-0
