;page;depth;xmin;ymin;xmax;ymax;type;text;id
0;11;0;0;0;653.622;852.047;LTPage;"
    ";11
1;11;1;83.689;416.195;241.761;424.201;LTTextLineHorizontal;;11-22
2;11;2;83.689;416.195;241.761;424.201;LTTextBoxHorizontal;bien caler ce trait contre le cadre (comme en Australie) ;11-22-0
3;11;1;262.267;410.819;366.474;427.332;LTTextBoxHorizontal;"172531_th1_ch1_09_cooperations 
176 x 105 mm ";11-21
4;11;1;73.85;320.186;225.168;334.809;LTTextLineHorizontal;;11-20
5;11;2;73.85;320.186;225.168;334.809;LTTextBoxHorizontal;10 La lutte contre la piraterie : ;11-20-0
6;11;1;90.682;312.314;184.248;323.314;LTTextLineHorizontal;;11-19
7;11;2;90.682;312.314;184.248;323.314;LTTextBoxHorizontal;l’opération Atalante ;11-19-0
8;11;1;553.447;47.52;564.567;57.52;LTTextLineHorizontal;;11-18
9;11;2;553.447;47.52;564.567;57.52;LTTextBoxHorizontal;43 ;11-18-0
10;11;1;15.0;837.047;653.622;852.047;LTFigure;"
      ";11-17
11;11;2;15.0;837.047;653.622;852.047;LTFigure;"
        ";11-17-0
12;11;3;15.0;837.047;653.622;852.047;LTFigure;;11-17-0-0
13;11;1;13.849;463.329;30.182;725.792;LTImage;"
      ";11-16
14;11;2;13.849;463.329;30.182;725.792;LTFigure;;11-16-0
15;11;1;65.423;434.924;564.32;732.539;LTRect;"
      ";11-15
16;11;2;65.423;434.924;564.32;732.539;LTRect;"
        ";11-15-0
17;11;3;65.423;434.924;564.32;732.539;LTRect;"
          ";11-15-0-0
18;11;4;325.064;652.623;359.888;660.623;LTTextLineHorizontal;;11-15-0-0-18
19;11;5;325.064;652.623;359.888;660.623;LTTextBoxHorizontal;MYANMAR ;11-15-0-0-18-0
20;11;4;344.072;628.0;379.784;636.0;LTTextLineHorizontal;;11-15-0-0-17
21;11;5;344.072;628.0;379.784;636.0;LTTextBoxHorizontal;THAÏLANDE ;11-15-0-0-17-0
22;11;4;282.552;603.896;315.6;611.896;LTTextLineHorizontal;;11-15-0-0-16
23;11;5;282.552;603.896;315.6;611.896;LTTextBoxHorizontal;SRI LANKA ;11-15-0-0-16-0
24;11;4;362.216;560.536;396.328;568.536;LTTextLineHorizontal;;11-15-0-0-15
25;11;5;362.216;560.536;396.328;568.536;LTTextBoxHorizontal;INDONÉSIE ;11-15-0-0-15-0
26;11;4;320.304;547.632;357.808;555.632;LTTextLineHorizontal;;11-15-0-0-14
27;11;5;320.304;547.632;357.808;555.632;LTTextBoxHorizontal;SINGAPOUR ;11-15-0-0-14-0
28;11;4;266.546;535.771;302.797;546.228;LTTextLineHorizontal;;11-15-0-0-13
29;11;5;266.546;535.771;302.797;546.228;LTTextBoxHorizontal;OCÉAN ;11-15-0-0-13-0
30;11;4;267.027;518.662;302.327;529.119;LTTextLineHorizontal;;11-15-0-0-12
31;11;5;267.027;518.662;302.327;529.119;LTTextBoxHorizontal;INDIEN ;11-15-0-0-12-0
32;11;4;186.944;663.8;199.976;671.8;LTTextLineHorizontal;;11-15-0-0-11
33;11;5;186.944;663.8;199.976;671.8;LTTextBoxHorizontal;ÉAU ;11-15-0-0-11-0
34;11;4;204.528;643.192;225.136;651.192;LTTextLineHorizontal;;11-15-0-0-10
35;11;5;204.528;643.192;225.136;651.192;LTTextBoxHorizontal;OMAN ;11-15-0-0-10-0
36;11;4;168.744;624.816;191.416;632.816;LTTextLineHorizontal;;11-15-0-0-9
37;11;5;168.744;624.816;191.416;632.816;LTTextBoxHorizontal;YÉMEN ;11-15-0-0-9-0
38;11;4;128.16;572.856;149.648;580.856;LTTextLineHorizontal;;11-15-0-0-8
39;11;5;128.16;572.856;149.648;580.856;LTTextBoxHorizontal;KENYA ;11-15-0-0-8-0
40;11;4;102.56;495.792;147.624;503.792;LTTextLineHorizontal;;11-15-0-0-7
41;11;5;102.56;495.792;147.624;503.792;LTTextBoxHorizontal;MOZAMBIQUE ;11-15-0-0-7-0
42;11;4;78.04;454.904;105.464;470.904;LTTextBoxHorizontal;"AFRIQUE 
DU SUD ";11-15-0-0-6
43;11;4;148.231;460.302;152.448;467.343;LTTextLineHorizontal;;11-15-0-0-5
44;11;5;148.231;460.302;152.448;467.343;LTTextBoxHorizontal;N ;11-15-0-0-5-0
45;11;4;123.92;448.328;127.76;456.328;LTTextLineHorizontal;;11-15-0-0-4
46;11;5;123.92;448.328;127.76;456.328;LTTextBoxHorizontal;0 ;11-15-0-0-4-0
47;11;4;165.904;448.328;194.432;456.328;LTTextLineHorizontal;;11-15-0-0-3
48;11;5;165.904;448.328;194.432;456.328;LTTextBoxHorizontal;1 000 km ;11-15-0-0-3-0
49;11;4;385.384;469.608;419.456;477.608;LTTextLineHorizontal;;11-15-0-0-2
50;11;5;385.384;469.608;419.456;477.608;LTTextBoxHorizontal;AUSTRALIE ;11-15-0-0-2-0
51;11;4;141.794;476.181;287.573;616.431;LTCurve;"
            ";11-15-0-0-1
52;11;5;158.896;588.136;187.056;596.136;LTTextLineHorizontal;;11-15-0-0-1-6
53;11;6;158.896;588.136;187.056;596.136;LTTextBoxHorizontal;SOMALIE ;11-15-0-0-1-6-0
54;11;5;216.992;589.688;249.144;597.688;LTTextLineHorizontal;;11-15-0-0-1-5
55;11;6;216.992;589.688;249.144;597.688;LTTextBoxHorizontal;MALDIVES ;11-15-0-0-1-5-0
56;11;5;186.472;563.384;224.232;571.384;LTTextLineHorizontal;;11-15-0-0-1-4
57;11;6;186.472;563.384;224.232;571.384;LTTextBoxHorizontal;SEYCHELLES ;11-15-0-0-1-4-0
58;11;5;157.088;536.152;188.808;544.152;LTTextLineHorizontal;;11-15-0-0-1-3
59;11;6;157.088;536.152;188.808;544.152;LTTextBoxHorizontal;COMORES ;11-15-0-0-1-3-0
60;11;5;151.096;513.072;197.176;521.072;LTTextLineHorizontal;;11-15-0-0-1-2
61;11;6;151.096;513.072;197.176;521.072;LTTextBoxHorizontal;MADAGASCAR ;11-15-0-0-1-2-0
62;11;5;192.888;505.232;233.344;513.232;LTTextLineHorizontal;;11-15-0-0-1-1
63;11;6;192.888;505.232;233.344;513.232;LTTextBoxHorizontal;ÎLE MAURICE ;11-15-0-0-1-1-0
64;11;5;174.056;482.04;207.84;498.04;LTTextBoxHorizontal;"La Réunion 
(FRANCE) ";11-15-0-0-1-0
65;11;4;426.949;434.924;564.32;732.539;LTRect;"
            ";11-15-0-0-0
66;11;5;459.046;695.37;561.686;711.865;LTTextBoxHorizontal;"SAARC (Association sud-asiatique 
pour la coopération régionale) ";11-15-0-0-0-11
67;11;5;459.046;673.138;555.918;689.634;LTTextBoxHorizontal;"ASEAN (Association des nations 
de l’Asie du Sud-Est) ";11-15-0-0-0-10
68;11;5;459.046;650.906;516.534;667.402;LTTextBoxHorizontal;"EAC (Communauté 
d’Afrique de l’Est) ";11-15-0-0-0-9
69;11;5;459.046;628.682;558.566;645.178;LTTextBoxHorizontal;"SADC (Communauté de dévelop- 
pement de l’Afrique australe) ";11-15-0-0-0-8
70;11;5;459.046;606.45;548.062;622.946;LTTextBoxHorizontal;"CCG (Conseil de coopération 
du Golfe) ";11-15-0-0-0-7
71;11;5;459.046;582.29;557.662;598.786;LTTextBoxHorizontal;"IGAD (Autorité intergouverne- 
mentale pour le développement) ";11-15-0-0-0-6
