;page;depth;xmin;ymin;xmax;ymax;type;text;id
0;31;0;0;0;653.622;852.047;LTPage;"
    ";31
1;31;1;69.408;767.218;247.085;783.718;LTTextLineHorizontal;;31-117
2;31;2;69.408;767.218;247.085;783.718;LTTextBoxHorizontal;3 Des espaces maritimes ;31-117-0
3;31;1;89.18;752.792;274.894;767.792;LTTextLineHorizontal;;31-116
4;31;2;89.18;752.792;274.894;767.792;LTTextBoxHorizontal;entre menaces et protection ;31-116-0
5;31;1;65.173;664.362;422.299;745.862;LTTextBoxHorizontal;"◗● Les mers et les océans sont gravement menacés par les activités humaines. 
Le transport d’hydrocarbures et l’exploitation par les plateformes offshore occasionnent 
d’importantes pollutions (marées noires…). La concentration des déchets a provoqué l’ap- 
parition de véritables « continents » de plastique (zones d’accumulation massive appelées 
gyres) dans tous les océans. Chaque année, près de 10 millions de tonnes de plastique 
sont rejetés dans les mers. Ces déchets dégradent les eaux océaniques et mettent en péril 
une grande partie de la faune marine. ";31-115
6;31;1;65.173;574.695;422.169;656.193;LTTextBoxHorizontal;"◗● L’appropriation permet souvent de protéger les mers et les océans. Le droit 
de la mer permet aux États côtiers de mettre en place des mesures de protection et de 
favoriser la patrimonialisation de leurs domaines insulaires et maritimes : préservation 
des mangroves, des barrières de corail, des espèces halieutiques. 5 000 aires marines 
protégées représentent en 2018 environ 7,3 % de la surface des océans du globe 
(26 millions de km²). Depuis 2017, la superficie des aires marines protégées dépasse celle 
de leurs équivalents terrestres. Elle pourrait doubler d’ici 2030. ";31-114
7;31;1;65.173;497.024;422.322;566.524;LTTextBoxHorizontal;"◗● Les États maritimes sont partagés entre les logiques de valorisation et de 
protection. Les mers et les océans représentent un capital dont le produit marin brut 
(PMB), c’est-à-dire la richesse produite, serait estimé à 2 500 milliards de dollars, soit 
l’équivalent de la 7e puissance économique planétaire. Toutefois, leur exploitation est 
incompatible avec les logiques de préservation des milieux marins et de la biodiversité 
marine, nécessaires aux équilibres environnementaux de la planète. ";31-113
8;31;1;267.188;52.715;347.216;69.715;LTTextBoxHorizontal;"172531_th1_ch1_19_schema 
 env. 176 x 125 mm ";31-112
9;31;1;553.447;47.52;564.567;57.52;LTTextLineHorizontal;;31-111
10;31;2;553.447;47.52;564.567;57.52;LTTextBoxHorizontal;63 ;31-111-0
11;31;1;15.0;837.047;653.622;852.047;LTFigure;"
      ";31-110
12;31;2;15.0;837.047;653.622;852.047;LTFigure;"
        ";31-110-0
13;31;3;15.0;837.047;653.622;852.047;LTFigure;;31-110-0-0
14;31;1;454.864;516.906;1011.135;1021.047;LTFigure;;31-109
15;31;1;130.446;340.483;276.58;616.145;LTFigure;;31-108
16;31;1;100.289;320.511;209.321;604.378;LTFigure;;31-107
17;31;1;148.293;362.047;327.214;714.174;LTFigure;;31-106
18;31;1;91.185;261.206;182.47;522.312;LTFigure;;31-105
19;31;1;91.165;262.496;192.456;522.076;LTFigure;;31-104
20;31;1;95.755;261.114;195.256;517.913;LTFigure;;31-103
21;31;1;93.03;255.562;189.62;505.293;LTFigure;;31-102
22;31;1;94.388;248.758;194.147;495.556;LTFigure;;31-101
23;31;1;93.908;244.713;190.02;487.048;LTFigure;;31-100
