;page;depth;xmin;ymin;xmax;ymax;type;text;id
0;1;0;0;0;653.622;852.047;LTPage;"
    ";1
1;1;1;13.953;15.0;639.742;792.81;LTImage;"
      ";1-2
2;1;2;13.953;15.0;639.742;792.81;LTFigure;"
        ";1-2-0
3;1;3;575.535;771.509;597.693;780.354;LTTextLineHorizontal;;1-2-0-5
4;1;4;575.535;771.509;597.693;780.354;LTTextBoxHorizontal;THÈME ;1-2-0-5-0
5;1;3;602.205;771.651;606.132;780.496;LTTextLineHorizontal;;1-2-0-4
6;1;4;602.205;771.651;606.132;780.496;LTTextBoxHorizontal;1 ;1-2-0-4-0
7;1;3;492.379;427.601;576.887;434.601;LTTextLineHorizontal;;1-2-0-3
8;1;4;492.379;427.601;576.887;434.601;LTTextBoxHorizontal;172531_th1_ch1_04_loc_blackpool ;1-2-0-3-0
9;1;3;553.447;47.52;564.567;57.52;LTTextLineHorizontal;;1-2-0-2
10;1;4;553.447;47.52;564.567;57.52;LTTextBoxHorizontal;33 ;1-2-0-2-0
11;1;3;576.218;606.366;639.08;761.771;LTCurve;"
          ";1-2-0-1
12;1;4;576.218;606.366;639.08;761.771;LTCurve;"
            ";1-2-0-1-0
13;1;5;578.855;743.453;605.265;759.453;LTTextBoxHorizontal;"SE 
PRÉPARER ";1-2-0-1-0-3
14;1;5;578.473;653.551;603.457;676.89;LTTextBoxHorizontal;"CHAPITRE 
2 ";1-2-0-1-0-2
15;1;5;581.494;630.689;602.633;639.689;LTTextLineHorizontal;;1-2-0-1-0-1
16;1;6;581.494;630.689;602.633;639.689;LTTextBoxHorizontal;RÉVISER ;1-2-0-1-0-1-0
17;1;5;576.469;684.543;638.831;723.378;LTRect;"
              ";1-2-0-1-0-0
18;1;6;578.473;692.953;603.457;716.366;LTTextBoxHorizontal;"CHAPITRE 
1 ";1-2-0-1-0-0-0
19;1;3;475.664;432.397;598.064;554.797;LTImage;"
          ";1-2-0-0
20;1;4;475.664;432.397;598.064;554.797;LTFigure;"
            ";1-2-0-0-0
21;1;5;476.408;434.054;596.408;554.054;LTImage;"
              ";1-2-0-0-0-0
22;1;6;476.408;434.054;596.408;554.054;LTFigure;"
                ";1-2-0-0-0-0-0
23;1;7;479.992;441.002;589.378;550.388;LTCurve;"
                  ";1-2-0-0-0-0-0-0
24;1;8;479.992;441.002;589.378;550.388;LTCurve;"
                    ";1-2-0-0-0-0-0-0-0
25;1;9;481.082;443.132;587.381;549.431;LTCurve;"
                      ";1-2-0-0-0-0-0-0-0-0
26;1;10;481.082;443.132;587.381;549.431;LTCurve;"
                        ";1-2-0-0-0-0-0-0-0-0-0
27;1;11;534.504;492.901;565.257;500.401;LTTextLineHorizontal;;1-2-0-0-0-0-0-0-0-0-0-1
28;1;12;534.504;492.901;565.257;500.401;LTTextBoxHorizontal;Blackpool ;1-2-0-0-0-0-0-0-0-0-0-1-0
29;1;11;522.817;472.465;558.489;488.465;LTTextBoxHorizontal;"ROYAUME- 
UNI ";1-2-0-0-0-0-0-0-0-0-0-0
30;1;1;475.664;554.797;1073.729;987.194;LTFigure;;1-1
31;1;1;476.408;554.053;1072.816;988.107;LTFigure;;1-0
