;page;depth;xmin;ymin;xmax;ymax;type;text;id
0;22;0;0;0;653.622;852.047;LTPage;"
    ";22
1;22;1;77.253;715.256;584.014;741.256;LTTextLineHorizontal;;22-11
2;22;2;77.253;715.256;584.014;741.256;LTTextBoxHorizontal;Les câbles sous-marins : les routes de l’information ;22-11-0
3;22;1;89.012;610.898;310.252;624.898;LTTextLineHorizontal;;22-10
4;22;2;89.012;610.898;310.252;624.898;LTTextBoxHorizontal;1 Le réseau mondial des câbles sous-marins ;22-10-0
5;22;1;77.362;47.52;88.482;57.52;LTTextLineHorizontal;;22-9
6;22;2;77.362;47.52;88.482;57.52;LTTextBoxHorizontal;54 ;22-9-0
7;22;1;15.0;837.047;653.622;852.047;LTFigure;"
      ";22-8
8;22;2;15.0;837.047;653.622;852.047;LTFigure;;22-8-0
9;22;1;78.272;321.421;588.199;605.865;LTRect;"
      ";22-7
10;22;2;78.272;321.421;588.199;605.865;LTRect;"
        ";22-7-0
11;22;3;78.272;321.421;588.199;605.865;LTRect;"
          ";22-7-0-0
12;22;4;78.272;321.421;588.199;605.865;LTRect;"
            ";22-7-0-0-0
13;22;5;78.272;321.421;588.199;605.865;LTRect;"
              ";22-7-0-0-0-0
14;22;6;78.272;321.421;588.199;605.865;LTRect;"
                ";22-7-0-0-0-0-0
15;22;7;292.418;588.078;398.45;596.078;LTTextLineHorizontal;;22-7-0-0-0-0-0-9
16;22;8;292.418;588.078;398.45;596.078;LTTextBoxHorizontal;OCÉAN GLACIAL ARCTIQUE ;22-7-0-0-0-0-0-9-0
17;22;7;512.294;498.893;530.971;506.893;LTTextLineHorizontal;;22-7-0-0-0-0-0-8
18;22;8;512.294;498.893;530.971;506.893;LTTextBoxHorizontal;JAPON ;22-7-0-0-0-0-0-8-0
19;22;7;543.683;456.701;582.114;475.204;LTTextBoxHorizontal;"OCÉAN 
PACIFIQUE ";22-7-0-0-0-0-0-7
20;22;7;120.691;433.571;159.121;452.074;LTTextBoxHorizontal;"OCÉAN 
PACIFIQUE ";22-7-0-0-0-0-0-6
