;page;depth;xmin;ymin;xmax;ymax;type;text;id
0;9;0;0;0;653.622;852.047;LTPage;"
    ";9
1;9;1;76.163;371.749;254.854;385.749;LTTextLineHorizontal;;9-12
2;9;2;76.163;371.749;254.854;385.749;LTTextBoxHorizontal;5 Les passages les plus fréquentés ;9-12-0
3;9;1;90.679;362.313;173.332;373.313;LTTextLineHorizontal;;9-11
4;9;2;90.679;362.313;173.332;373.313;LTTextBoxHorizontal;par les pétroliers ;9-11-0
5;9;1;257.489;403.255;356.345;419.255;LTTextBoxHorizontal;"172531_th1_ch1_08_indien_eco 
175 x 120 mm ";9-10
6;9;1;553.447;47.52;564.567;57.52;LTTextLineHorizontal;;9-9
7;9;2;553.447;47.52;564.567;57.52;LTTextBoxHorizontal;41 ;9-9-0
8;9;1;13.976;71.078;29.173;277.228;LTImage;"
      ";9-8
9;9;2;13.976;71.078;29.173;277.228;LTFigure;;9-8-0
10;9;1;13.989;334.683;30.174;533.196;LTImage;"
      ";9-7
11;9;2;13.989;334.683;30.174;533.196;LTFigure;;9-7-0
12;9;1;66.557;429.903;564.921;766.781;LTRect;"
      ";9-6
13;9;2;66.557;429.903;564.921;766.781;LTRect;"
        ";9-6-0
14;9;3;66.557;429.903;564.921;766.781;LTRect;"
          ";9-6-0-0
15;9;4;79.467;726.72;128.882;734.72;LTTextLineHorizontal;;9-6-0-0-16
16;9;5;79.467;726.72;128.882;734.72;LTTextBoxHorizontal;Canal de Suez ;9-6-0-0-16-0
17;9;4;324.554;674.097;363.731;683.097;LTTextLineHorizontal;;9-6-0-0-15
18;9;5;324.554;674.097;363.731;683.097;LTTextBoxHorizontal;MYANMAR ;9-6-0-0-15-0
19;9;4;347.054;650.103;387.23;659.103;LTTextLineHorizontal;;9-6-0-0-14
20;9;5;347.054;650.103;387.23;659.103;LTTextBoxHorizontal;THAÏLANDE ;9-6-0-0-14-0
21;9;4;383.162;569.04;421.538;578.04;LTTextLineHorizontal;;9-6-0-0-13
22;9;5;383.162;569.04;421.538;578.04;LTTextBoxHorizontal;INDONÉSIE ;9-6-0-0-13-0
23;9;4;92.84;504.096;143.537;513.096;LTTextLineHorizontal;;9-6-0-0-12
24;9;5;92.84;504.096;143.537;513.096;LTTextBoxHorizontal;MOZAMBIQUE ;9-6-0-0-12-0
25;9;4;75.506;472.416;106.358;490.416;LTTextBoxHorizontal;"AFRIQUE 
DU SUD ";9-6-0-0-11
26;9;4;99.941;454.884;124.943;463.884;LTTextLineHorizontal;;9-6-0-0-10
27;9;5;99.941;454.884;124.943;463.884;LTTextBoxHorizontal;Durban ;9-6-0-0-10-0
28;9;4;72.11;431.376;159.525;439.376;LTTextLineHorizontal;;9-6-0-0-9
29;9;5;72.11;431.376;159.525;439.376;LTTextBoxHorizontal;Cap de Bonne-Espérance ;9-6-0-0-9-0
30;9;4;387.5;475.548;425.831;484.548;LTTextLineHorizontal;;9-6-0-0-8
31;9;5;387.5;475.548;425.831;484.548;LTTextBoxHorizontal;AUSTRALIE ;9-6-0-0-8-0
32;9;4;353.226;448.258;357.443;455.299;LTTextLineHorizontal;;9-6-0-0-7
33;9;5;353.226;448.258;357.443;455.299;LTTextBoxHorizontal;N ;9-6-0-0-7-0
34;9;4;327.2;436.894;331.04;444.894;LTTextLineHorizontal;;9-6-0-0-6
35;9;5;327.2;436.894;331.04;444.894;LTTextBoxHorizontal;0 ;9-6-0-0-6-0
36;9;4;366.832;436.894;395.36;444.894;LTTextLineHorizontal;;9-6-0-0-5
37;9;5;366.832;436.894;395.36;444.894;LTTextBoxHorizontal;1 000 km ;9-6-0-0-5-0
38;9;4;99.674;456.173;244.173;685.673;LTCurve;"
            ";9-6-0-0-4
39;9;5;153.119;639.376;227.865;657.087;LTTextBoxHorizontal;"YÉMEN 
D. de Bab el-Mandeb ";9-6-0-0-4-9
40;9;5;144.176;611.421;175.856;620.421;LTTextLineHorizontal;;9-6-0-0-4-8
41;9;6;144.176;611.421;175.856;620.421;LTTextBoxHorizontal;SOMALIE ;9-6-0-0-4-8-0
42;9;5;108.842;592.089;133.016;601.089;LTTextLineHorizontal;;9-6-0-0-4-7
43;9;6;108.842;592.089;133.016;601.089;LTTextBoxHorizontal;KENYA ;9-6-0-0-4-7-0
44;9;5;137.939;570.885;171.77;579.885;LTTextLineHorizontal;;9-6-0-0-4-6
45;9;6;137.939;570.885;171.77;579.885;LTTextBoxHorizontal;Mombasa ;9-6-0-0-4-6-0
46;9;5;103.505;561.426;139.361;570.426;LTTextLineHorizontal;;9-6-0-0-4-5
47;9;6;103.505;561.426;139.361;570.426;LTTextBoxHorizontal;TANZANIE ;9-6-0-0-4-5-0
48;9;5;191.273;562.884;233.753;571.884;LTTextLineHorizontal;;9-6-0-0-4-4
