;page;depth;xmin;ymin;xmax;ymax;type;text;id
0;14;0;0;0;653.622;852.047;LTPage;"
    ";14
1;14;1;286.549;58.859;383.649;73.859;LTTextBoxHorizontal;"172531_th1_ch1_11_croquis_golfe 
180 x 90,5 mm ";14-114
2;14;1;15.0;837.047;653.622;852.047;LTFigure;"
      ";14-113
3;14;2;15.0;837.047;653.622;852.047;LTFigure;;14-113-0
4;14;1;77.405;76.969;588.199;338.183;LTRect;"
      ";14-112
5;14;2;77.405;76.969;588.199;338.183;LTRect;"
        ";14-112-0
6;14;3;129.893;256.893;158.621;264.893;LTTextLineHorizontal;;14-112-0-28
7;14;4;129.893;256.893;158.621;264.893;LTTextBoxHorizontal;KOWEÏT ;14-112-0-28-0
8;14;3;95.163;230.282;153.128;239.282;LTTextLineHorizontal;;14-112-0-27
9;14;4;95.163;230.282;153.128;239.282;LTTextBoxHorizontal;Ras al Khafdji ;14-112-0-27-0
10;14;3;106.251;320.69;132.548;328.29;LTTextLineHorizontal;;14-112-0-26
11;14;4;106.251;320.69;132.548;328.29;LTTextBoxHorizontal;Titre : ;14-112-0-26-0
12;14;3;139.137;308.555;174.894;317.555;LTTextLineHorizontal;;14-112-0-25
13;14;4;139.137;308.555;174.894;317.555;LTTextBoxHorizontal;Bassorah ;14-112-0-25-0
14;14;3;84.115;284.548;105.355;292.548;LTTextLineHorizontal;;14-112-0-24
15;14;4;84.115;284.548;105.355;292.548;LTTextBoxHorizontal;IRAK ;14-112-0-24-0
16;14;3;95.865;143.135;118.005;152.135;LTTextLineHorizontal;;14-112-0-23
17;14;4;95.865;143.135;118.005;152.135;LTTextBoxHorizontal;Riyad ;14-112-0-23-0
18;14;3;119.53;106.612;123.535;113.301;LTTextLineHorizontal;;14-112-0-22
19;14;4;119.53;106.612;123.535;113.301;LTTextBoxHorizontal;N ;14-112-0-22-0
20;14;3;91.538;93.141;94.898;100.141;LTTextLineHorizontal;;14-112-0-21
21;14;4;91.538;93.141;94.898;100.141;LTTextBoxHorizontal;0 ;14-112-0-21-0
22;14;3;140.755;93.141;160.677;100.141;LTTextLineHorizontal;;14-112-0-20
23;14;4;140.755;93.141;160.677;100.141;LTTextBoxHorizontal;200 km ;14-112-0-20-0
24;14;3;363.867;94.276;389.571;102.276;LTTextLineHorizontal;;14-112-0-19
25;14;4;363.867;94.276;389.571;102.276;LTTextBoxHorizontal;OMAN ;14-112-0-19-0
26;14;3;235.073;165.635;514.208;303.922;LTFigure;;14-112-0-18
27;14;3;275.893;159.436;554.255;317.456;LTFigure;;14-112-0-17
28;14;3;267.94;148.43;538.126;295.2;LTFigure;;14-112-0-16
29;14;3;263.132;139.949;528.095;277.567;LTFigure;;14-112-0-15
30;14;3;288.999;135.003;581.212;268.406;LTFigure;;14-112-0-14
31;14;3;270.77;134.648;544.383;265.764;LTFigure;;14-112-0-13
32;14;3;256.055;130.621;514.192;258.628;LTFigure;;14-112-0-12
33;14;3;243.054;86.912;370.801;194.937;LTCurve;"
          ";14-112-0-11
34;14;4;271.653;92.389;322.035;109.389;LTTextBoxHorizontal;"ÉMIRATS 
ARABES UNIS ";14-112-0-11-0
35;14;3;275.802;159.616;554.507;317.363;LTFigure;"
          ";14-112-0-10
36;14;4;275.802;159.616;554.507;317.363;LTFigure;;14-112-0-10-0
37;14;3;268.058;148.707;538.225;295.207;LTFigure;"
          ";14-112-0-9
38;14;4;268.058;148.707;538.225;295.207;LTFigure;;14-112-0-9-0
39;14;3;263.453;140.064;528.656;277.495;LTFigure;"
          ";14-112-0-8
40;14;4;263.453;140.064;528.656;277.495;LTFigure;;14-112-0-8-0
41;14;3;289.333;135.304;581.699;268.405;LTFigure;"
          ";14-112-0-7
42;14;4;289.333;135.304;581.699;268.405;LTFigure;;14-112-0-7-0
43;14;3;270.614;134.842;544.397;265.788;LTFigure;"
          ";14-112-0-6
44;14;4;270.614;134.842;544.397;265.788;LTFigure;;14-112-0-6-0
45;14;3;255.93;130.743;514.175;258.526;LTFigure;"
          ";14-112-0-5
46;14;4;255.93;130.743;514.175;258.526;LTFigure;;14-112-0-5-0
47;14;3;130.095;121.222;426.204;312.668;LTCurve;"
          ";14-112-0-4
48;14;4;160.347;154.638;420.647;288.588;LTCurve;"
            ";14-112-0-4-1
49;14;5;364.203;187.832;385.434;194.832;LTTextLineHorizontal;;14-112-0-4-1-8
50;14;6;364.203;187.832;385.434;194.832;LTTextBoxHorizontal;OMAN ;14-112-0-4-1-8-0
