;page;depth;xmin;ymin;xmax;ymax;type;text;id
93;25;4;-187.863;563.601;-148.912;574.081;LTTextBoxHorizontal;OCÉAN ;25-4-0-2-0
94;25;3;-195.01;547.883;-141.765;558.362;LTTextLineHorizontal;;25-4-0-1
95;25;4;-195.01;547.883;-141.765;558.362;LTTextBoxHorizontal;PACIFIQUE ;25-4-0-1-0
96;25;3;-97.366;454.591;291.967;631.258;LTCurve;"
          ";25-4-0-0
97;25;4;-35.9;585.174;-5.834;596.174;LTTextLineHorizontal;;25-4-0-0-3
98;25;5;-35.9;585.174;-5.834;596.174;LTTextBoxHorizontal;ÉTATS- ;25-4-0-0-3-0
99;25;4;-31.405;573.173;-10.318;584.173;LTTextLineHorizontal;;25-4-0-0-2
100;25;5;-31.405;573.173;-10.318;584.173;LTTextBoxHorizontal;UNIS ;25-4-0-0-2-0
101;25;4;-32.583;533.94;-0.359;542.44;LTTextLineHorizontal;;25-4-0-0-1
102;25;5;-32.583;533.94;-0.359;542.44;LTTextBoxHorizontal;New York ;25-4-0-0-1-0
103;25;4;-41.964;464.683;12.873;485.311;LTTextBoxHorizontal;"OCÉAN 
ATLANTIQUE ";25-4-0-0-0
104;25;1;575.535;771.509;597.693;780.354;LTTextLineHorizontal;;25-3
105;25;2;575.535;771.509;597.693;780.354;LTTextBoxHorizontal;THÈME ;25-3-0
106;25;1;602.205;771.651;606.132;780.496;LTTextLineHorizontal;;25-2
107;25;2;602.205;771.651;606.132;780.496;LTTextBoxHorizontal;1 ;25-2-0
108;25;1;333.584;48.442;537.64;56.586;LTTextLineHorizontal;;25-1
109;25;2;333.584;48.442;537.64;56.586;LTTextBoxHorizontal;CHAPITRE 1 Mers et océans : au cœur de la mondialisation ;25-1-0
110;25;1;486.937;689.797;542.315;708.108;LTCurve;"
      ";25-0
111;25;2;497.743;692.359;536.239;707.359;LTTextBoxHorizontal;"Carte 
interactive ";25-0-0
