;page;depth;xmin;ymin;xmax;ymax;type;text;id
0;16;0;0;0;653.622;852.047;LTPage;"
    ";16
1;16;1;77.717;715.996;216.765;741.996;LTTextLineHorizontal;;16-90
2;16;2;77.717;715.996;216.765;741.996;LTTextBoxHorizontal;L’océan Indien ;16-90-0
3;16;1;15.0;837.047;653.622;852.047;LTFigure;"
      ";16-89
4;16;2;15.0;837.047;653.622;852.047;LTFigure;;16-89-0
5;16;1;302.135;89.61;588.199;553.992;LTRect;"
      ";16-88
6;16;2;302.135;89.61;588.199;553.992;LTRect;"
        ";16-88-0
7;16;3;302.135;104.314;588.198;553.992;LTRect;"
          ";16-88-0-1
8;16;4;524.229;497.483;545.577;505.483;LTTextLineHorizontal;;16-88-0-1-19
9;16;5;524.229;497.483;545.577;505.483;LTTextBoxHorizontal;CHINE ;16-88-0-1-19-0
10;16;4;507.393;469.206;538.093;476.206;LTTextLineHorizontal;;16-88-0-1-18
11;16;5;507.393;469.206;538.093;476.206;LTTextBoxHorizontal;MYANMAR ;16-88-0-1-18-0
12;16;4;321.584;339.198;368.355;346.221;LTTextLineHorizontal;;16-88-0-1-17
13;16;5;321.584;339.198;368.355;346.221;LTTextBoxHorizontal;MOZAMBIQUE ;16-88-0-1-17-0
14;16;4;457.594;332.72;489.373;352.718;LTTextBoxHorizontal;"OCÉAN 
INDIEN ";16-88-0-1-16
15;16;4;537.243;387.718;579.088;394.718;LTTextLineHorizontal;;16-88-0-1-15
16;16;5;537.243;387.718;579.088;394.718;LTTextBoxHorizontal;I N D O N É S I E ;16-88-0-1-15-0
17;16;4;308.393;311.489;337.727;325.534;LTTextBoxHorizontal;"AFRIQUE 
DU SUD ";16-88-0-1-14
18;16;4;327.453;297.872;347.657;304.872;LTTextLineHorizontal;;16-88-0-1-13
19;16;5;327.453;297.872;347.657;304.872;LTTextBoxHorizontal;Durban ;16-88-0-1-13-0
20;16;4;548.171;317.382;582.67;324.382;LTTextLineHorizontal;;16-88-0-1-12
21;16;5;548.171;317.382;582.67;324.382;LTTextBoxHorizontal;AUSTRALIE ;16-88-0-1-12-0
22;16;4;503.688;304.462;507.905;311.503;LTTextLineHorizontal;;16-88-0-1-11
23;16;5;503.688;304.462;507.905;311.503;LTTextBoxHorizontal;N ;16-88-0-1-11-0
24;16;4;477.662;293.097;481.502;301.097;LTTextLineHorizontal;;16-88-0-1-10
25;16;5;477.662;293.097;481.502;301.097;LTTextBoxHorizontal;0 ;16-88-0-1-10-0
26;16;4;517.294;293.097;545.822;301.097;LTTextLineHorizontal;;16-88-0-1-9
27;16;5;517.294;293.097;545.822;301.097;LTTextBoxHorizontal;1 000 km ;16-88-0-1-9-0
28;16;4;310.812;264.99;499.335;273.99;LTTextLineHorizontal;;16-88-0-1-8
29;16;5;310.812;264.99;499.335;273.99;LTTextBoxHorizontal;1. Des pays riverains entre inégalités et coopération ;16-88-0-1-8-0
30;16;4;336.732;250.622;472.057;258.622;LTTextLineHorizontal;;16-88-0-1-7
31;16;5;336.732;250.622;472.057;258.622;LTTextBoxHorizontal;PIB supérieur à 1 000 milliards de dollars ;16-88-0-1-7-0
32;16;4;336.732;235.926;479.516;243.926;LTTextLineHorizontal;;16-88-0-1-6
33;16;5;336.732;235.926;479.516;243.926;LTTextBoxHorizontal;PIB entre 250 et 1 000 milliards de dollars ;16-88-0-1-6-0
34;16;4;336.732;205.539;452.501;213.539;LTTextLineHorizontal;;16-88-0-1-5
